coal_codigo,coal_codMunicipio,coal_anio,coal_tipo_institucion,coal_aprobados,coal_reprobados,coal_desertores,coal_porce_aprobados,coal_porce_reprobados,coal_porce_desertores,coal_traslados
254,41799,2008,1,,,,3011,82,373,151
255,41801,2008,1,,,,1655,69,132,48
256,41797,2008,1,,,,2707,76,64,169
257,41807,2008,1,,,,4953,216,149,156
258,41872,2008,1,,,,1542,80,120,60
259,41885,2008,1,,,,1828,82,66,122
260,41006,2007,1,,,,97.2,2.8,3.9,4.4
261,41013,2007,1,,,,95.5,4.5,6.8,6.8
262,41016,2007,1,,,,96.4,3.6,5.1,7.7
263,41020,2007,1,,,,97.5,2.5,5.2,6.5
264,41026,2007,1,,,,95.6,4.4,2,12.9
265,41078,2007,1,,,,94.8,5.2,7.8,6.5
266,41132,2007,1,,,,95.9,4.1,5.9,7
267,41206,2007,1,,,,96.6,3.4,5.7,6.9
268,41244,2007,1,,,,97,3,5.6,3.8
269,41298,2007,1,,,,96.4,3.6,6.6,8.3
270,41306,2007,1,,,,95,5,4.9,7.5
271,41319,2007,1,,,,97.4,2.6,3.9,6.3
272,41349,2007,1,,,,92.2,7.8,6.4,5.5
273,41357,2007,1,,,,95.8,4.2,6,9.8
274,41359,2007,1,,,,98.2,1.8,5.4,2.6
275,41378,2007,1,,,,96.4,3.6,4.3,5.2
276,41396,2007,1,,,,97.1,2.9,4.8,4.3
277,41483,2007,1,,,,97.5,2.5,6.1,4.5
278,41001,2007,1,,,,0,0,0,0
279,41503,2007,1,,,,97.1,2.9,3.2,6.3
280,41518,2007,1,,,,89.9,10.1,4.8,9
281,41524,2007,1,,,,95,5,2.7,7.6
282,41530,2007,1,,,,99.5,0.5,5.4,6.1
283,41548,2007,1,,,,98,2,4,10.1
284,41551,2007,1,,,,94.7,5.3,6.3,5.5
285,41615,2007,1,,,,95.4,4.6,3,8.9
286,41660,2007,1,,,,94.5,5.5,4.1,5.4
287,41668,2007,1,,,,97.8,2.2,4.2,4.7
288,41676,2007,1,,,,98.2,1.8,6.1,7.3
289,41770,2007,1,,,,96.4,3.6,6.6,6.5
290,41791,2007,1,,,,96.5,3.5,2.4,2.2
291,41799,2007,1,,,,96.5,3.5,6.8,7.6
292,41801,2007,1,,,,95.7,4.3,7.6,4.8
293,41797,2007,1,,,,95.8,4.2,1.2,6.6
294,41807,2007,1,,,,97.8,2.2,5,4.4
295,41872,2007,1,,,,95.6,4.4,8.7,3.9
296,41885,2007,1,,,,95.7,4.3,2.7,10
