ped_codigo,ped_codMunicipio,ped_anio,ped_poblacion_escolar,ped_num_poblacion_escolar
616,41548,2011,2,1429
617,41551,2011,2,12576
618,41615,2011,2,1760
619,41660,2011,2,1360
620,41668,2011,2,3176
621,41676,2011,2,1216
622,41770,2011,2,1949
623,41791,2011,2,2065
624,41799,2011,2,1660
625,41801,2011,2,918
626,41797,2011,2,960
627,41807,2011,2,2232
628,41872,2011,2,818
629,41885,2011,2,756
630,41006,2011,3,3000
631,41013,2011,3,816
632,41016,2011,3,1984
633,41020,2011,3,1944
634,41026,2011,3,374
635,41078,2011,3,821
636,41132,2011,3,2746
637,41206,2011,3,1034
638,41244,2011,3,336
639,41298,2011,3,7375
640,41306,2011,3,2538
641,41319,2011,3,1757
642,41349,2011,3,541
643,41357,2011,3,996
644,41359,2011,3,2369
645,41378,2011,3,1241
646,41396,2011,3,5465
647,41483,2011,3,598
648,41001,2011,3,25426
649,41503,2011,3,1353
650,41518,2011,3,520
651,41524,2011,3,2458
652,41530,2011,3,1023
653,41548,2011,3,1198
654,41551,2011,3,10457
655,41615,2011,3,1320
656,41660,2011,3,1058
657,41668,2011,3,2756
658,41676,2011,3,940
659,41770,2011,3,1508
660,41791,2011,3,1539
661,41799,2011,3,1296
662,41801,2011,3,719
663,41797,2011,3,743
664,41807,2011,3,1836
665,41872,2011,3,620
666,41885,2011,3,652
667,41006,2011,4,1397
668,41013,2011,4,400
669,41016,2011,4,1044
670,41020,2011,4,958
671,41026,2011,4,184
672,41078,2011,4,419
673,41132,2011,4,1970
674,41206,2011,4,531
675,41244,2011,4,171
676,41298,2011,4,3644
677,41306,2011,4,1382
678,41319,2011,4,895
679,41349,2011,4,290
680,41357,2011,4,513
681,41359,2011,4,1137
682,41378,2011,4,582
683,41396,2011,4,2621
684,41483,2011,4,294
685,41001,2011,4,13050
686,41503,2011,4,587
687,41518,2011,4,228
688,41524,2011,4,1231
689,41530,2011,4,506
690,41548,2011,4,586
691,41551,2011,4,5188
692,41615,2011,4,709
693,41660,2011,4,483
694,41668,2011,4,1424
695,41676,2011,4,473
696,41770,2011,4,768
697,41791,2011,4,733
698,41799,2011,4,632
699,41801,2011,4,348
700,41797,2011,4,392
701,41807,2011,4,899
702,41872,2011,4,326
703,41885,2011,4,344
704,41006,2010,1,753
705,41013,2010,1,206
706,41016,2010,1,567
707,41020,2010,1,571
708,41026,2010,1,86
709,41078,2010,1,162
710,41132,2010,1,674
711,41206,2010,1,239
712,41244,2010,1,93
713,41298,2010,1,1776
714,41306,2010,1,778
715,41319,2010,1,481
716,41349,2010,1,162
717,41357,2010,1,232
718,41359,2010,1,524
719,41378,2010,1,289
720,41396,2010,1,1304
721,41483,2010,1,124
722,41001,2010,1,5579
723,41503,2010,1,310
724,41518,2010,1,106
725,41524,2010,1,650
726,41530,2010,1,234
727,41548,2010,1,278
728,41551,2010,1,2423
729,41615,2010,1,395
730,41660,2010,1,269
731,41668,2010,1,603
732,41676,2010,1,258
733,41770,2010,1,408
