dou_codig,dou_anio,dou_universidad,dou_semestre,dou_nivel_educacion_superior,dou_programa,dou_categoria_personalU,dou_genero,dou_num_personalU
364,2013,2,1,5,45,3,2,3
365,2013,2,1,5,34,3,2,10
366,2013,2,1,5,20,3,2,0
367,2013,2,1,5,35,3,2,0
368,2013,2,1,5,47,3,2,0
369,2013,2,1,6,48,3,2,0
370,2013,2,1,6,49,3,2,0
371,2013,2,2,5,1,1,1,0
372,2013,2,2,5,6,1,1,2
373,2013,2,2,5,44,1,1,4
374,2013,2,2,5,41,1,1,17
375,2013,2,2,5,45,1,1,17
376,2013,2,2,5,34,1,1,4
377,2013,2,2,5,20,1,1,0
378,2013,2,2,5,35,1,1,0
379,2013,2,2,5,47,1,1,1
380,2013,2,2,6,48,1,1,0
381,2013,2,2,6,49,1,1,0
382,2013,2,2,5,1,1,2,1
383,2013,2,2,5,6,1,2,0
384,2013,2,2,5,44,1,2,1
385,2013,2,2,5,41,1,2,3
386,2013,2,2,5,45,1,2,3
387,2013,2,2,5,34,1,2,4
388,2013,2,2,5,20,1,2,0
389,2013,2,2,5,35,1,2,0
390,2013,2,2,5,47,1,2,0
391,2013,2,2,6,48,1,2,1
392,2013,2,2,6,49,1,2,1
393,2013,2,2,5,1,2,1,1
394,2013,2,2,5,6,2,1,3
395,2013,2,2,5,44,2,1,2
396,2013,2,2,5,41,2,1,8
397,2013,2,2,5,45,2,1,8
398,2013,2,2,5,34,2,1,0
399,2013,2,2,5,20,2,1,0
400,2013,2,2,5,35,2,1,0
401,2013,2,2,5,47,2,1,0
402,2013,2,2,6,48,2,1,0
403,2013,2,2,6,49,2,1,0
404,2013,2,2,5,1,2,2,0
405,2013,2,2,5,6,2,2,0
406,2013,2,2,5,44,2,2,0
407,2013,2,2,5,41,2,2,3
408,2013,2,2,5,45,2,2,3
409,2013,2,2,5,34,2,2,0
410,2013,2,2,5,20,2,2,0
411,2013,2,2,5,35,2,2,0
412,2013,2,2,5,47,2,2,0
413,2013,2,2,6,48,2,2,0
414,2013,2,2,6,49,2,2,0
415,2013,2,2,5,1,3,1,1
416,2013,2,2,5,6,3,1,14
417,2013,2,2,5,44,3,1,4
418,2013,2,2,5,41,3,1,23
419,2013,2,2,5,45,3,1,31
420,2013,2,2,5,34,3,1,2
421,2013,2,2,5,20,3,1,0
422,2013,2,2,5,35,3,1,0
423,2013,2,2,5,47,3,1,6
424,2013,2,2,6,48,3,1,0
425,2013,2,2,6,49,3,1,0
426,2013,2,2,5,1,3,2,2
427,2013,2,2,5,6,3,2,1
428,2013,2,2,5,44,3,2,1
429,2013,2,2,5,41,3,2,4
430,2013,2,2,5,45,3,2,1
431,2013,2,2,5,34,3,2,10
432,2013,2,2,5,20,3,2,0
433,2013,2,2,5,35,3,2,0
434,2013,2,2,5,47,3,2,0
435,2013,2,2,6,48,3,2,0
436,2013,2,2,6,49,3,2,0
437,2013,3,1,5,,1,1,20
438,2013,3,1,6,,1,1,0
439,2013,3,1,5,,1,2,15
440,2013,3,1,6,,1,2,0
441,2013,3,1,5,,2,1,16
442,2013,3,1,6,,2,1,0
443,2013,3,1,5,,2,2,13
444,2013,3,1,6,,2,2,0
445,2013,3,1,5,,3,1,26
446,2013,3,1,6,,3,1,0
447,2013,3,1,5,,3,2,41
448,2013,3,1,6,,3,2,0
449,2013,3,2,5,,1,1,19
450,2013,3,2,6,,1,1,0
451,2013,3,2,5,,1,2,25
452,2013,3,2,6,,1,2,0
453,2013,3,2,5,,2,1,12
454,2013,3,2,6,,2,1,0
455,2013,3,2,5,,2,2,16
456,2013,3,2,6,,2,2,0
457,2013,3,2,5,,3,1,14
458,2013,3,2,6,,3,1,0
459,2013,3,2,5,,3,2,25
460,2013,3,2,6,,3,2,0
461,2013,4,1,5,79,1,1,1
462,2013,4,1,5,80,1,1,2
463,2013,4,1,5,81,1,1,2
464,2013,4,1,5,82,1,1,0
465,2013,4,1,5,86,1,1,4
466,2013,4,1,5,44,1,1,4
467,2013,4,1,5,45,1,1,21
468,2013,4,1,5,85,1,1,5
469,2013,4,1,5,83,1,1,2
470,2013,4,1,5,84,1,1,0
471,2013,4,1,5,79,1,2,1
472,2013,4,1,5,80,1,2,0
473,2013,4,1,5,81,1,2,0
474,2013,4,1,5,82,1,2,0
475,2013,4,1,5,86,1,2,3
476,2013,4,1,5,44,1,2,1
477,2013,4,1,5,45,1,2,7
478,2013,4,1,5,85,1,2,2
479,2013,4,1,5,83,1,2,1
480,2013,4,1,5,84,1,2,0
481,2013,4,1,5,79,3,1,29
482,2013,4,1,5,80,3,1,16
483,2013,4,1,5,81,3,1,7
484,2013,4,1,5,82,3,1,6
485,2013,4,1,5,86,3,1,24
486,2013,4,1,5,44,3,1,17
487,2013,4,1,5,45,3,1,57
488,2013,4,1,5,85,3,1,10
489,2013,4,1,5,83,3,1,14
490,2013,4,1,5,84,3,1,17
491,2013,4,1,5,79,3,2,6
492,2013,4,1,5,80,3,2,5
493,2013,4,1,5,81,3,2,1
494,2013,4,1,5,82,3,2,3
495,2013,4,1,5,86,3,2,12
496,2013,4,1,5,44,3,2,2
497,2013,4,1,5,45,3,2,23
498,2013,4,1,5,85,3,2,5
499,2013,4,1,5,83,3,2,9
500,2013,4,1,5,84,3,2,4
501,2013,4,2,5,79,1,1,3
502,2013,4,2,5,80,1,1,2
503,2013,4,2,5,81,1,1,2
504,2013,4,2,5,82,1,1,0
505,2013,4,2,5,86,1,1,6
506,2013,4,2,5,44,1,1,5
507,2013,4,2,5,45,1,1,23
508,2013,4,2,5,85,1,1,4
509,2013,4,2,5,83,1,1,2
510,2013,4,2,5,84,1,1,0
511,2013,4,2,5,79,1,2,1
512,2013,4,2,5,80,1,2,0
513,2013,4,2,5,81,1,2,0
514,2013,4,2,5,82,1,2,0
515,2013,4,2,5,86,1,2,4
516,2013,4,2,5,44,1,2,1
517,2013,4,2,5,45,1,2,9
518,2013,4,2,5,85,1,2,2
519,2013,4,2,5,83,1,2,1
520,2013,4,2,5,84,1,2,0
521,2013,4,2,5,79,3,1,26
522,2013,4,2,5,80,3,1,14
523,2013,4,2,5,81,3,1,1
524,2013,4,2,5,82,3,1,9
525,2013,4,2,5,86,3,1,28
526,2013,4,2,5,44,3,1,13
527,2013,4,2,5,45,3,1,62
528,2013,4,2,5,85,3,1,16
529,2013,4,2,5,83,3,1,11
530,2013,4,2,5,84,3,1,19
531,2013,4,2,5,79,3,2,3
532,2013,4,2,5,80,3,2,8
533,2013,4,2,5,81,3,2,0
534,2013,4,2,5,82,3,2,4
535,2013,4,2,5,86,3,2,8
536,2013,4,2,5,44,3,2,3
537,2013,4,2,5,45,3,2,28
538,2013,4,2,5,85,3,2,5
539,2013,4,2,5,83,3,2,10
540,2013,4,2,5,84,3,2,5
541,2013,5,1,5,1,1,1,0
542,2013,5,1,5,82,1,1,0
543,2013,5,1,5,35,1,1,0
544,2013,5,1,5,6,1,1,0
545,2013,5,1,5,46,1,1,0
546,2013,5,1,5,100,1,1,0
547,2013,5,1,5,102,1,1,0
548,2013,5,1,5,84,1,1,1
549,2013,5,1,5,1,1,2,1
550,2013,5,1,5,82,1,2,0
551,2013,5,1,5,35,1,2,0
552,2013,5,1,5,6,1,2,0
553,2013,5,1,5,46,1,2,0
554,2013,5,1,5,100,1,2,0
555,2013,5,1,5,102,1,2,0
556,2013,5,1,5,84,1,2,0
557,2013,5,1,5,1,2,1,6
558,2013,5,1,5,82,2,1,0
559,2013,5,1,5,35,2,1,2
560,2013,5,1,5,6,2,1,1
561,2013,5,1,5,46,2,1,1
562,2013,5,1,5,100,2,1,0
563,2013,5,1,5,102,2,1,0
564,2013,5,1,5,84,2,1,3
565,2013,5,1,5,1,2,2,1
566,2013,5,1,5,82,2,2,0
567,2013,5,1,5,35,2,2,2
568,2013,5,1,5,6,2,2,1
569,2013,5,1,5,46,2,2,1
570,2013,5,1,5,100,2,2,2
571,2013,5,1,5,102,2,2,0
572,2013,5,1,5,84,2,2,2
573,2013,5,1,5,1,3,1,5
574,2013,5,1,5,82,3,1,0
575,2013,5,1,5,35,3,1,2
576,2013,5,1,5,6,3,1,3
577,2013,5,1,5,46,3,1,3
578,2013,5,1,5,100,3,1,1
579,2013,5,1,5,102,3,1,0
580,2013,5,1,5,84,3,1,5
581,2013,5,1,5,1,3,2,2
582,2013,5,1,5,82,3,2,0
583,2013,5,1,5,35,3,2,2
584,2013,5,1,5,6,3,2,1
585,2013,5,1,5,46,3,2,4
586,2013,5,1,5,100,3,2,0
587,2013,5,1,5,102,3,2,0
588,2013,5,1,5,84,3,2,2
589,2013,5,2,5,1,1,1,0
590,2013,5,2,5,82,1,1,0
591,2013,5,2,5,35,1,1,0
592,2013,5,2,5,6,1,1,0
593,2013,5,2,5,46,1,1,1
594,2013,5,2,5,100,1,1,0
595,2013,5,2,5,102,1,1,0
596,2013,5,2,5,84,1,1,2
597,2013,5,2,5,1,1,2,1
598,2013,5,2,5,82,1,2,0
599,2013,5,2,5,35,1,2,0
600,2013,5,2,5,6,1,2,0
601,2013,5,2,5,46,1,2,0
602,2013,5,2,5,100,1,2,0
603,2013,5,2,5,102,1,2,0
604,2013,5,2,5,84,1,2,1
605,2013,5,2,5,1,2,1,4
606,2013,5,2,5,82,2,1,0
607,2013,5,2,5,35,2,1,2
608,2013,5,2,5,6,2,1,1
609,2013,5,2,5,46,2,1,0
610,2013,5,2,5,100,2,1,0
611,2013,5,2,5,102,2,1,0
612,2013,5,2,5,84,2,1,3
613,2013,5,2,5,1,2,2,1
614,2013,5,2,5,82,2,2,0
615,2013,5,2,5,35,2,2,3
616,2013,5,2,5,6,2,2,0
617,2013,5,2,5,46,2,2,1
618,2013,5,2,5,100,2,2,1
619,2013,5,2,5,102,2,2,0
620,2013,5,2,5,84,2,2,0
621,2013,5,2,5,1,3,1,8
622,2013,5,2,5,82,3,1,1
623,2013,5,2,5,35,3,1,3
624,2013,5,2,5,6,3,1,6
625,2013,5,2,5,46,3,1,4
