runi_codigo,runi_anio,runi_universidad,runi_semestre,runi_nivel_educacion_superior,runi_programa,runi_categoria_registro,runi_genero,runi_num_personas
377,2014,4,2,6,87,2,1,9
378,2014,4,2,5,79,2,2,24
379,2014,4,2,5,80,2,2,23
380,2014,4,2,5,81,2,2,0
381,2014,4,2,5,82,2,2,3
382,2014,4,2,5,83,2,2,5
383,2014,4,2,5,84,2,2,13
384,2014,4,2,5,85,2,2,19
385,2014,4,2,5,86,2,2,67
386,2014,4,2,5,44,2,2,2
387,2014,4,2,5,45,2,2,106
388,2014,4,2,6,87,2,2,14
389,2014,4,1,5,79,3,1,68
390,2014,4,1,5,80,3,1,49
391,2014,4,1,5,81,3,1,11
392,2014,4,1,5,82,3,1,12
393,2014,4,1,5,83,3,1,49
394,2014,4,1,5,84,3,1,73
395,2014,4,1,5,85,3,1,164
396,2014,4,1,5,86,3,1,510
397,2014,4,1,5,44,3,1,222
398,2014,4,1,5,45,3,1,853
399,2014,4,1,6,87,3,1,5
400,2014,4,1,5,79,3,2,200
401,2014,4,1,5,80,3,2,85
402,2014,4,1,5,81,3,2,13
403,2014,4,1,5,82,3,2,29
404,2014,4,1,5,83,3,2,88
405,2014,4,1,5,84,3,2,143
406,2014,4,1,5,85,3,2,149
407,2014,4,1,5,86,3,2,828
408,2014,4,1,5,44,3,2,88
409,2014,4,1,5,45,3,2,898
410,2014,4,1,6,87,3,2,11
411,2014,4,2,5,79,3,1,71
412,2014,4,2,5,80,3,1,50
413,2014,4,2,5,81,3,1,11
414,2014,4,2,5,82,3,1,11
415,2014,4,2,5,83,3,1,41
416,2014,4,2,5,84,3,1,86
417,2014,4,2,5,85,3,1,167
418,2014,4,2,5,86,3,1,599
419,2014,4,2,5,44,3,1,251
420,2014,4,2,5,45,3,1,1077
421,2014,4,2,6,87,3,1,8
422,2014,4,2,5,79,3,2,178
423,2014,4,2,5,80,3,2,96
424,2014,4,2,5,81,3,2,7
425,2014,4,2,5,82,3,2,26
426,2014,4,2,5,83,3,2,98
427,2014,4,2,5,84,3,2,138
428,2014,4,2,5,85,3,2,137
429,2014,4,2,5,86,3,2,794
430,2014,4,2,5,44,3,2,66
431,2014,4,2,5,45,3,2,812
432,2014,4,2,6,87,3,2,10
433,2014,4,1,5,79,4,1,5
434,2014,4,1,5,80,4,1,3
435,2014,4,1,5,81,4,1,0
436,2014,4,1,5,82,4,1,1
437,2014,4,1,5,83,4,1,5
438,2014,4,1,5,84,4,1,2
439,2014,4,1,5,85,4,1,10
440,2014,4,1,5,86,4,1,28
441,2014,4,1,5,44,4,1,10
442,2014,4,1,5,45,4,1,68
443,2014,4,1,6,87,4,1,0
444,2014,4,1,5,79,4,2,28
445,2014,4,1,5,80,4,2,7
446,2014,4,1,5,81,4,2,6
447,2014,4,1,5,82,4,2,3
448,2014,4,1,5,83,4,2,6
449,2014,4,1,5,84,4,2,5
450,2014,4,1,5,85,4,2,11
451,2014,4,1,5,86,4,2,51
452,2014,4,1,5,44,4,2,8
453,2014,4,1,5,45,4,2,51
454,2014,4,1,6,87,4,2,0
455,2014,4,2,5,79,4,1,10
456,2014,4,2,5,80,4,1,1
457,2014,4,2,5,81,4,1,5
458,2014,4,2,5,82,4,1,2
459,2014,4,2,5,83,4,1,5
460,2014,4,2,5,84,4,1,8
461,2014,4,2,5,85,4,1,14
462,2014,4,2,5,86,4,1,43
463,2014,4,2,5,44,4,1,19
464,2014,4,2,5,45,4,1,106
465,2014,4,2,6,87,4,1,16
466,2014,4,2,5,79,4,2,15
467,2014,4,2,5,80,4,2,8
468,2014,4,2,5,81,4,2,2
469,2014,4,2,5,82,4,2,3
470,2014,4,2,5,83,4,2,18
471,2014,4,2,5,84,4,2,7
472,2014,4,2,5,85,4,2,11
473,2014,4,2,5,86,4,2,61
474,2014,4,2,5,44,4,2,10
475,2014,4,2,5,45,4,2,78
476,2014,4,2,6,87,4,2,14
477,2014,4,1,5,79,5,1,5
478,2014,4,1,5,80,5,1,3
479,2014,4,1,5,81,5,1,2
480,2014,4,1,5,82,5,1,2
481,2014,4,1,5,83,5,1,8
482,2014,4,1,5,84,5,1,0
483,2014,4,1,5,85,5,1,9
484,2014,4,1,5,86,5,1,27
485,2014,4,1,5,44,5,1,18
486,2014,4,1,5,45,5,1,66
487,2014,4,1,6,87,5,1,0
488,2014,4,1,5,79,5,2,23
489,2014,4,1,5,80,5,2,16
490,2014,4,1,5,81,5,2,5
491,2014,4,1,5,82,5,2,3
492,2014,4,1,5,83,5,2,7
493,2014,4,1,5,84,5,2,0
494,2014,4,1,5,85,5,2,5
495,2014,4,1,5,86,5,2,52
496,2014,4,1,5,44,5,2,13
497,2014,4,1,5,45,5,2,62
498,2014,4,1,6,87,5,2,0
499,2014,4,2,5,79,5,1,6
500,2014,4,2,5,80,5,1,3
501,2014,4,2,5,81,5,1,4
502,2014,4,2,5,82,5,1,1
503,2014,4,2,5,83,5,1,6
504,2014,4,2,5,84,5,1,0
505,2014,4,2,5,85,5,1,5
506,2014,4,2,5,86,5,1,47
507,2014,4,2,5,44,5,1,18
508,2014,4,2,5,45,5,1,68
509,2014,4,2,6,87,5,1,16
510,2014,4,2,5,79,5,2,35
511,2014,4,2,5,80,5,2,9
512,2014,4,2,5,81,5,2,2
513,2014,4,2,5,82,5,2,10
514,2014,4,2,5,83,5,2,1
515,2014,4,2,5,84,5,2,3
516,2014,4,2,5,85,5,2,14
517,2014,4,2,5,86,5,2,26
518,2014,4,2,5,44,5,2,5
519,2014,4,2,5,45,5,2,43
520,2014,4,2,6,87,5,2,14
521,2014,5,1,5,,1,1,245
522,2014,5,1,5,,1,2,408
523,2014,5,2,5,,1,1,53
524,2014,5,2,5,,1,2,86
525,2014,5,1,5,,2,1,120
526,2014,5,1,5,,2,2,211
527,2014,5,2,5,,2,1,119
528,2014,5,2,5,,2,2,215
529,2014,5,1,5,,3,1,353
530,2014,5,1,5,,3,2,704
531,2014,5,2,5,,3,1,351
532,2014,5,2,5,,3,2,680
533,2014,5,1,5,,4,1,
534,2014,5,1,5,,4,2,
535,2014,5,2,5,,4,1,
536,2014,5,2,5,,4,2,
537,2014,5,1,5,,5,1,50
538,2014,5,1,5,,5,2,141
539,2014,5,2,5,,5,1,39
540,2014,5,2,5,,5,2,116
541,2013,1,1,5,,1,1,2127
542,2013,1,1,6,,1,1,227
543,2013,1,1,5,,1,2,1989
544,2013,1,1,6,,1,2,233
545,2013,1,2,5,,1,1,1679
546,2013,1,2,6,,1,1,121
547,2013,1,2,5,,1,2,1521
548,2013,1,2,6,,1,2,102
549,2013,1,1,5,,2,1,708
550,2013,1,1,6,,2,1,54
551,2013,1,1,5,,2,2,609
552,2013,1,1,6,,2,2,74
553,2013,1,2,5,,2,1,705
554,2013,1,2,6,,2,1,86
555,2013,1,2,5,,2,2,604
556,2013,1,2,6,,2,2,72
557,2013,1,1,5,,3,1,4881
558,2013,1,1,6,,3,1,173
559,2013,1,1,5,,3,2,4977
560,2013,1,1,6,,3,2,236
561,2013,1,2,5,,3,1,4868
562,2013,1,2,6,,3,1,208
563,2013,1,2,5,,3,2,4867
564,2013,1,2,6,,3,2,225
565,2013,1,1,5,,4,1,252
566,2013,1,1,6,,4,1,22
567,2013,1,1,5,,4,2,322
568,2013,1,1,6,,4,2,54
569,2013,1,2,5,,4,1,298
570,2013,1,2,6,,4,1,6
571,2013,1,2,5,,4,2,324
572,2013,1,2,6,,4,2,19
573,2013,1,1,5,,5,1,235
574,2013,1,1,6,,5,1,31
575,2013,1,1,5,,5,2,307
576,2013,1,1,6,,5,2,46
577,2013,1,2,5,,5,1,255
578,2013,1,2,6,,5,1,33
579,2013,1,2,5,,5,2,391
580,2013,1,2,6,,5,2,56
581,2013,2,1,5,1,1,1,5
582,2013,2,1,5,6,1,1,21
583,2013,2,1,5,44,1,1,34
584,2013,2,1,5,41,1,1,75
585,2013,2,1,5,45,1,1,200
586,2013,2,1,5,34,1,1,2
587,2013,2,1,5,20,1,1,0
588,2013,2,1,5,35,1,1,0
589,2013,2,1,5,47,1,1,23
590,2013,2,1,6,48,1,1,26
591,2013,2,1,6,49,1,1,6
592,2013,2,1,5,1,1,2,8
593,2013,2,1,5,6,1,2,18
594,2013,2,1,5,44,1,2,12
595,2013,2,1,5,41,1,2,105
