arco_codigo,arco_codMunicipio,arco_codCultivo,arco_anio,arco_semestre,arco_HasTotalPlantada,arco_HasNuevas,arco_HasRenovadas,arco_HasCosechadas,arco_toneladasProduccion,arco_rendimiento,arco_precioProductor,arco_precioPromedioProduccion,arco_costoPromedioEstablecimiento,arco_costoPromedioSostenimiento
,41524,7,2015,,153.00,,,95.00,665.00,,,,,
,41530,7,2015,,31.00,,,10.00,70.00,,,,,
,41548,7,2015,,153.00,,,71.00,390.50,,,,,
,41551,7,2015,,792.00,,,347.00,2602.50,,,,,
,41615,7,2015,,162.00,,,70.00,385.00,,,,,
,41660,7,2015,,73.00,,,23.00,161.00,,,,,
,41668,7,2015,,3282.00,,,1625.00,13000.00,,,,,
,41676,7,2015,,216.00,,,132.00,686.40,,,,,
,41770,7,2015,,75.00,,,32.00,224.00,,,,,
,41791,7,2015,,176.00,,,80.00,400.00,,,,,
,41799,7,2015,,158.00,,,78.00,390.00,,,,,
,41801,7,2015,,78.00,,,40.00,200.00,,,,,
,41797,7,2015,,61.50,,,25.00,162.50,,,,,
,41807,7,2015,,30.00,,,14.00,98.00,,,,,
,41872,7,2015,,1.50,,,0.50,2.50,,,,,
,41885,7,2015,,0.00,,,0.00,0.00,,,,,
,41006,15,2015,,0.00,,,0.00,0.00,,,,,
,41013,15,2015,,0.00,,,0.00,0.00,,,,,
,41016,15,2015,,0.00,,,0.00,0.00,,,,,
,41020,15,2015,,5.00,,,5.00,40.00,,,,,
,41026,15,2015,,3.00,,,3.00,24.00,,,,,
,41078,15,2015,,5.00,,,4.00,32.00,,,,,
,41132,15,2015,,12.00,,,9.00,72.00,,,,,
,41206,15,2015,,7.00,,,7.00,49.00,,,,,
,41244,15,2015,,0.00,,,0.00,0.00,,,,,
,41298,15,2015,,0.00,,,0.00,0.00,,,,,
,41306,15,2015,,7.50,,,5.50,44.00,,,,,
,41319,15,2015,,0.00,,,0.00,0.00,,,,,
,41349,15,2015,,0.00,,,0.00,0.00,,,,,
,41357,15,2015,,2.00,,,2.00,16.00,,,,,
,41359,15,2015,,0.00,,,0.00,0.00,,,,,
,41378,15,2015,,0.00,,,0.00,0.00,,,,,
,41396,15,2015,,0.00,,,0.00,0.00,,,,,
,41483,15,2015,,0.00,,,0.00,0.00,,,,,
