tub_codigo,tub_codMunicipio,tub_anio,tub_poblacion,tub_incidencia,tub_tasa_habitantes
297,41006,2003,358279,,
298,41013,2003,23731,,
299,41016,2003,9340,,
300,41020,2003,12987,,
301,41026,2003,23475,,
302,41078,2003,2921,,
303,41132,2003,9130,,
304,41206,2003,30204,,
305,41244,2003,10119,,
306,41298,2003,2768,,
307,41306,2003,51546,,
308,41319,2003,21899,,
309,41349,2003,13530,,
310,41357,2003,6019,,
311,41359,2003,8486,,
312,41378,2003,23770,,
313,41396,2003,10251,,
314,41483,2003,41799,,
315,41001,2003,6562,,
316,41503,2003,8389,,
317,41518,2003,5107,,
318,41524,2003,21175,,
319,41530,2003,10665,,
320,41548,2003,12411,,
321,41551,2003,86225,,
322,41615,2003,15739,,
323,41660,2003,8733,,
324,41668,2003,27105,,
325,41676,2003,9760,,
326,41770,2003,9226,,
327,41791,2003,14614,,
328,41799,2003,16179,,
329,41801,2003,7560,,
330,41797,2003,8487,,
331,41807,2003,25222,,
332,41872,2003,7710,,
333,41885,2003,6708,,
