def_codigo,def_codMunicipio,def_anio,def_codTipoDefuncion,def_rango_edad,def_codAreaDefuncion,def_genero,def_numeroCasos
1869,41396,2014,6,8,,,0
1870,41483,2014,6,8,,,0
1871,41001,2014,6,8,,,10
1872,41503,2014,6,8,,,0
1873,41518,2014,6,8,,,0
1874,41524,2014,6,8,,,1
1875,41530,2014,6,8,,,0
1876,41548,2014,6,8,,,1
1877,41551,2014,6,8,,,6
1878,41615,2014,6,8,,,1
1879,41660,2014,6,8,,,0
1880,41668,2014,6,8,,,0
1881,41676,2014,6,8,,,1
1882,41770,2014,6,8,,,2
1883,41791,2014,6,8,,,0
1884,41799,2014,6,8,,,0
1885,41801,2014,6,8,,,1
1886,41797,2014,6,8,,,0
1887,41807,2014,6,8,,,1
1888,41872,2014,6,8,,,0
1889,41885,2014,6,8,,,0
1890,41006,2014,6,9,,,3
1891,41013,2014,6,9,,,0
1892,41016,2014,6,9,,,1
1893,41020,2014,6,9,,,1
1894,41026,2014,6,9,,,0
1895,41078,2014,6,9,,,0
1896,41132,2014,6,9,,,2
1897,41206,2014,6,9,,,0
1898,41244,2014,6,9,,,0
1899,41298,2014,6,9,,,3
1900,41306,2014,6,9,,,1
1901,41319,2014,6,9,,,0
1902,41349,2014,6,9,,,1
1903,41357,2014,6,9,,,1
1904,41359,2014,6,9,,,0
1905,41378,2014,6,9,,,0
1906,41396,2014,6,9,,,1
1907,41483,2014,6,9,,,0
1908,41001,2014,6,9,,,5
1909,41503,2014,6,9,,,0
1910,41518,2014,6,9,,,0
1911,41524,2014,6,9,,,0
1912,41530,2014,6,9,,,0
1913,41548,2014,6,9,,,0
1914,41551,2014,6,9,,,10
1915,41615,2014,6,9,,,1
1916,41660,2014,6,9,,,0
1917,41668,2014,6,9,,,1
1918,41676,2014,6,9,,,1
1919,41770,2014,6,9,,,0
1920,41791,2014,6,9,,,0
1921,41799,2014,6,9,,,1
1922,41801,2014,6,9,,,1
1923,41797,2014,6,9,,,0
1924,41807,2014,6,9,,,1
1925,41872,2014,6,9,,,0
1926,41885,2014,6,9,,,0
1927,41006,2014,6,10,,,1
1928,41013,2014,6,10,,,0
1929,41016,2014,6,10,,,0
1930,41020,2014,6,10,,,1
1931,41026,2014,6,10,,,0
1932,41078,2014,6,10,,,0
1933,41132,2014,6,10,,,0
1934,41206,2014,6,10,,,0
1935,41244,2014,6,10,,,0
1936,41298,2014,6,10,,,3
1937,41306,2014,6,10,,,0
1938,41319,2014,6,10,,,0
1939,41349,2014,6,10,,,0
1940,41357,2014,6,10,,,0
1941,41359,2014,6,10,,,1
1942,41378,2014,6,10,,,1
1943,41396,2014,6,10,,,1
1944,41483,2014,6,10,,,1
1945,41001,2014,6,10,,,6
1946,41503,2014,6,10,,,0
1947,41518,2014,6,10,,,0
1948,41524,2014,6,10,,,0
1949,41530,2014,6,10,,,2
1950,41548,2014,6,10,,,0
1951,41551,2014,6,10,,,2
1952,41615,2014,6,10,,,0
1953,41660,2014,6,10,,,0
1954,41668,2014,6,10,,,1
1955,41676,2014,6,10,,,0
1956,41770,2014,6,10,,,0
1957,41791,2014,6,10,,,0
1958,41799,2014,6,10,,,0
1959,41801,2014,6,10,,,0
1960,41797,2014,6,10,,,0
1961,41807,2014,6,10,,,0
1962,41872,2014,6,10,,,0
1963,41885,2014,6,10,,,0
1964,41006,2014,6,11,,,1
1965,41013,2014,6,11,,,0
1966,41016,2014,6,11,,,0
1967,41020,2014,6,11,,,0
1968,41026,2014,6,11,,,0
1969,41078,2014,6,11,,,0
1970,41132,2014,6,11,,,1
1971,41206,2014,6,11,,,0
1972,41244,2014,6,11,,,0
1973,41298,2014,6,11,,,0
1974,41306,2014,6,11,,,1
1975,41319,2014,6,11,,,1
1976,41349,2014,6,11,,,0
1977,41357,2014,6,11,,,0
1978,41359,2014,6,11,,,1
1979,41378,2014,6,11,,,0
1980,41396,2014,6,11,,,0
1981,41483,2014,6,11,,,0
1982,41001,2014,6,11,,,5
1983,41503,2014,6,11,,,1
1984,41518,2014,6,11,,,0
1985,41524,2014,6,11,,,0
1986,41530,2014,6,11,,,0
1987,41548,2014,6,11,,,0
1988,41551,2014,6,11,,,0
1989,41615,2014,6,11,,,0
1990,41660,2014,6,11,,,0
1991,41668,2014,6,11,,,0
1992,41676,2014,6,11,,,0
1993,41770,2014,6,11,,,0
1994,41791,2014,6,11,,,2
1995,41799,2014,6,11,,,2
1996,41801,2014,6,11,,,0
1997,41797,2014,6,11,,,0
1998,41807,2014,6,11,,,0
1999,41872,2014,6,11,,,0
