nac_codigo,nac_codMunicipio,nac_anio,nac_codArea,nac_genero,nac_numero_nacimientos
315,41001,2015,5,3,0
316,41503,2015,5,3,0
317,41518,2015,5,3,0
318,41524,2015,5,3,0
319,41530,2015,5,3,0
320,41548,2015,5,3,0
321,41551,2015,5,3,0
322,41615,2015,5,3,0
323,41660,2015,5,3,0
324,41668,2015,5,3,0
325,41676,2015,5,3,0
326,41770,2015,5,3,0
327,41791,2015,5,3,0
328,41799,2015,5,3,0
329,41801,2015,5,3,0
330,41797,2015,5,3,0
331,41807,2015,5,3,0
332,41872,2015,5,3,0
333,41885,2015,5,3,0
334,41006,2015,4,2,3
335,41013,2015,4,2,0
336,41016,2015,4,2,0
337,41020,2015,4,2,0
338,41026,2015,4,2,0
339,41078,2015,4,2,0
340,41132,2015,4,2,0
341,41206,2015,4,2,0
342,41244,2015,4,2,0
343,41298,2015,4,2,3
344,41306,2015,4,2,1
345,41319,2015,4,2,1
346,41349,2015,4,2,0
347,41357,2015,4,2,13
348,41359,2015,4,2,0
349,41378,2015,4,2,0
350,41396,2015,4,2,19
351,41483,2015,4,2,0
352,41001,2015,4,2,5
353,41503,2015,4,2,1
354,41518,2015,4,2,0
355,41524,2015,4,2,1
356,41530,2015,4,2,0
357,41548,2015,4,2,1
358,41551,2015,4,2,0
359,41615,2015,4,2,0
360,41660,2015,4,2,0
361,41668,2015,4,2,0
362,41676,2015,4,2,0
363,41770,2015,4,2,0
364,41791,2015,4,2,1
365,41799,2015,4,2,0
366,41801,2015,4,2,0
367,41797,2015,4,2,0
368,41807,2015,4,2,0
369,41872,2015,4,2,0
370,41885,2015,4,2,0
371,41006,2015,4,1,4
372,41013,2015,4,1,0
373,41016,2015,4,1,1
374,41020,2015,4,1,0
375,41026,2015,4,1,0
376,41078,2015,4,1,0
377,41132,2015,4,1,0
378,41206,2015,4,1,0
379,41244,2015,4,1,0
380,41298,2015,4,1,1
381,41306,2015,4,1,0
382,41319,2015,4,1,0
383,41349,2015,4,1,0
384,41357,2015,4,1,12
385,41359,2015,4,1,0
386,41378,2015,4,1,0
387,41396,2015,4,1,20
388,41483,2015,4,1,0
389,41001,2015,4,1,1
390,41503,2015,4,1,0
391,41518,2015,4,1,0
392,41524,2015,4,1,0
393,41530,2015,4,1,0
394,41548,2015,4,1,0
395,41551,2015,4,1,5
