niji_codigo,niji_codMunicipio,niji_anio,niji_tipo_modalidades,niji_tipo_dato_modalidad,niji_numero
416,41551,2009,52,5,0
417,41298,2009,53,17,12
418,41396,2009,53,17,0
419,41001,2009,53,17,4
420,41551,2009,53,17,0
421,41298,2009,53,5,12
422,41396,2009,53,5,0
423,41001,2009,53,5,4
424,41551,2009,53,5,0
425,41298,2009,54,17,0
426,41396,2009,54,17,0
427,41001,2009,54,17,163
428,41551,2009,54,17,0
429,41298,2009,54,5,0
430,41396,2009,54,5,0
431,41001,2009,54,5,167
432,41551,2009,54,5,0
433,41298,2008,46,17,84
434,41396,2008,46,17,94
435,41001,2008,46,17,34
436,41551,2008,46,17,357
437,41298,2008,46,5,84
438,41396,2008,46,5,98
439,41001,2008,46,5,37
440,41551,2008,46,5,360
441,41298,2008,47,17,0
442,41396,2008,47,17,4
443,41001,2008,47,17,0
444,41551,2008,47,17,3
445,41298,2008,47,5,0
446,41396,2008,47,5,4
447,41001,2008,47,5,0
448,41551,2008,47,5,3
449,41298,2008,48,17,14
450,41396,2008,48,17,110
451,41001,2008,48,17,0
452,41551,2008,48,17,504
453,41298,2008,48,5,17
454,41396,2008,48,5,116
455,41001,2008,48,5,0
456,41551,2008,48,5,1360
457,41298,2008,49,17,0
458,41396,2008,49,17,8
459,41001,2008,49,17,3
460,41551,2008,49,17,0
461,41298,2008,49,5,0
462,41396,2008,49,5,8
463,41001,2008,49,5,3
464,41551,2008,49,5,0
465,41298,2008,50,17,0
466,41396,2008,50,17,0
467,41001,2008,50,17,0
468,41551,2008,50,17,0
469,41298,2008,50,5,0
470,41396,2008,50,5,0
471,41001,2008,50,5,0
472,41551,2008,50,5,0
473,41298,2008,51,17,0
474,41396,2008,51,17,0
475,41001,2008,51,17,0
476,41551,2008,51,17,693
477,41298,2008,51,5,0
478,41396,2008,51,5,0
479,41001,2008,51,5,0
480,41551,2008,51,5,700
481,41298,2008,52,17,0
482,41396,2008,52,17,0
483,41001,2008,52,17,0
484,41551,2008,52,17,0
485,41298,2008,52,5,0
486,41396,2008,52,5,0
487,41001,2008,52,5,0
488,41551,2008,52,5,0
489,41298,2008,53,17,0
490,41396,2008,53,17,0
491,41001,2008,53,17,0
492,41551,2008,53,17,0
493,41298,2008,53,5,0
494,41396,2008,53,5,0
495,41001,2008,53,5,0
496,41551,2008,53,5,0
497,41298,2008,54,17,0
498,41396,2008,54,17,0
499,41001,2008,54,17,0
500,41551,2008,54,17,0
501,41298,2008,54,5,0
502,41396,2008,54,5,0
503,41001,2008,54,5,0
504,41551,2008,54,5,0
505,41298,2007,46,17,67
506,41396,2007,46,17,75
507,41001,2007,46,17,300
508,41551,2007,46,17,33
509,41298,2007,46,5,67
510,41396,2007,46,5,85
511,41001,2007,46,5,320
512,41551,2007,46,5,46
513,41298,2007,47,17,0
514,41396,2007,47,17,0
515,41001,2007,47,17,18
516,41551,2007,47,17,0
517,41298,2007,47,5,0
518,41396,2007,47,5,0
519,41001,2007,47,5,18
520,41551,2007,47,5,0
521,41298,2007,48,17,24
522,41396,2007,48,17,82
523,41001,2007,48,17,9
524,41551,2007,48,17,66
525,41298,2007,48,5,46
526,41396,2007,48,5,103
527,41001,2007,48,5,12
528,41551,2007,48,5,109
529,41298,2007,49,17,0
530,41396,2007,49,17,2
531,41001,2007,49,17,8
532,41551,2007,49,17,0
533,41298,2007,49,5,0
534,41396,2007,49,5,4
535,41001,2007,49,5,10
536,41551,2007,49,5,0
537,41298,2007,50,17,0
538,41396,2007,50,17,0
539,41001,2007,50,17,0
540,41551,2007,50,17,0
541,41298,2007,50,5,0
542,41396,2007,50,5,0
543,41001,2007,50,5,0
544,41551,2007,50,5,0
545,41298,2007,51,17,0
546,41396,2007,51,17,0
547,41001,2007,51,17,0
548,41551,2007,51,17,0
549,41298,2007,51,5,0
550,41396,2007,51,5,0
551,41001,2007,51,5,0
552,41551,2007,51,5,0
553,41298,2007,52,17,0
554,41396,2007,52,17,0
555,41001,2007,52,17,9
556,41551,2007,52,17,0
557,41298,2007,52,5,0
558,41396,2007,52,5,0
559,41001,2007,52,5,9
560,41551,2007,52,5,0
561,41298,2007,53,17,0
562,41396,2007,53,17,18
563,41001,2007,53,17,40
564,41551,2007,53,17,10
565,41298,2007,53,5,0
566,41396,2007,53,5,22
567,41001,2007,53,5,40
568,41551,2007,53,5,15
569,41298,2007,54,17,0
570,41396,2007,54,17,0
571,41001,2007,54,17,0
572,41551,2007,54,17,0
573,41298,2007,54,5,0
574,41396,2007,54,5,0
575,41001,2007,54,5,0
576,41551,2007,54,5,0
577,41298,2003,46,17,68
578,41396,2003,46,17,74
579,41001,2003,46,17,178
580,41551,2003,46,17,19
581,41298,2003,46,5,216
582,41396,2003,46,5,226
583,41001,2003,46,5,486
584,41551,2003,46,5,193
585,41298,2003,47,17,0
586,41396,2003,47,17,0
587,41001,2003,47,17,2
588,41551,2003,47,17,0
589,41298,2003,47,5,0
590,41396,2003,47,5,0
591,41001,2003,47,5,4
592,41551,2003,47,5,0
593,41298,2003,48,17,0
594,41396,2003,48,17,144
595,41001,2003,48,17,25
596,41551,2003,48,17,22
597,41298,2003,48,5,0
598,41396,2003,48,5,432
599,41001,2003,48,5,99
600,41551,2003,48,5,167
601,41298,2003,49,17,0
602,41396,2003,49,17,16
603,41001,2003,49,17,0
604,41551,2003,49,17,19
605,41298,2003,49,5,0
606,41396,2003,49,5,45
607,41001,2003,49,5,0
608,41551,2003,49,5,67
609,41298,2003,50,17,70
610,41396,2003,50,17,10
611,41001,2003,50,17,141
612,41551,2003,50,17,0
613,41298,2003,50,5,222
614,41396,2003,50,5,30
615,41001,2003,50,5,388
616,41551,2003,50,5,0
617,41298,2003,51,17,0
618,41396,2003,51,17,0
619,41001,2003,51,17,12
620,41551,2003,51,17,0
621,41298,2003,51,5,0
622,41396,2003,51,5,0
623,41001,2003,51,5,35
624,41551,2003,51,5,0
625,41298,2003,52,17,0
626,41396,2003,52,17,0
627,41001,2003,52,17,2
628,41551,2003,52,17,0
629,41298,2003,52,5,0
630,41396,2003,52,5,0
631,41001,2003,52,5,6
632,41551,2003,52,5,0
633,41298,2003,53,17,0
634,41396,2003,53,17,6
635,41001,2003,53,17,3
636,41551,2003,53,17,60
637,41298,2003,53,5,0
638,41396,2003,53,5,18
639,41001,2003,53,5,7
640,41551,2003,53,5,180
641,41298,2003,54,17,138
642,41396,2003,54,17,250
643,41001,2003,54,17,363
644,41551,2003,54,17,120
645,41298,2003,54,5,438
646,41396,2003,54,5,751
647,41001,2003,54,5,1025
648,41551,2003,54,5,607
