coas_codigo,coas_municipio,coas_anio,coas_cobertura,coas_tipo_poblacion,coas_num_personas
202,41396,2015,1,6,8
203,41483,2015,1,6,0
204,41001,2015,1,6,4
205,41503,2015,1,6,2
206,41518,2015,1,6,0
207,41524,2015,1,6,3
208,41530,2015,1,6,7
209,41548,2015,1,6,1
210,41551,2015,1,6,131
211,41615,2015,1,6,4
212,41660,2015,1,6,4
213,41668,2015,1,6,26
214,41676,2015,1,6,4
215,41770,2015,1,6,12
216,41791,2015,1,6,8
217,41799,2015,1,6,3
218,41801,2015,1,6,5
219,41797,2015,1,6,4
220,41807,2015,1,6,0
221,41872,2015,1,6,1
222,41885,2015,1,6,1
223,41006,2015,1,7,4
224,41013,2015,1,7,2
225,41016,2015,1,7,1
226,41020,2015,1,7,0
227,41026,2015,1,7,0
228,41078,2015,1,7,0
229,41132,2015,1,7,9
230,41206,2015,1,7,2
231,41244,2015,1,7,7
232,41298,2015,1,7,20
233,41306,2015,1,7,0
234,41319,2015,1,7,2
235,41349,2015,1,7,1
236,41357,2015,1,7,0
237,41359,2015,1,7,3
238,41378,2015,1,7,11
239,41396,2015,1,7,15
240,41483,2015,1,7,0
241,41001,2015,1,7,75
242,41503,2015,1,7,1
243,41518,2015,1,7,1
244,41524,2015,1,7,3
245,41530,2015,1,7,2
246,41548,2015,1,7,0
247,41551,2015,1,7,111
248,41615,2015,1,7,5
249,41660,2015,1,7,0
250,41668,2015,1,7,2
251,41676,2015,1,7,1
252,41770,2015,1,7,9
253,41791,2015,1,7,7
254,41799,2015,1,7,0
255,41801,2015,1,7,1
256,41797,2015,1,7,3
257,41807,2015,1,7,5
258,41872,2015,1,7,6
259,41885,2015,1,7,0
260,41006,2015,2,1,1
261,41013,2015,2,1,2
262,41016,2015,2,1,3
263,41020,2015,2,1,2
264,41026,2015,2,1,0
265,41078,2015,2,1,3
266,41132,2015,2,1,2
267,41206,2015,2,1,0
268,41244,2015,2,1,2
269,41298,2015,2,1,9
270,41306,2015,2,1,20
271,41319,2015,2,1,1
272,41349,2015,2,1,12
273,41357,2015,2,1,2232
274,41359,2015,2,1,10
275,41378,2015,2,1,746
276,41396,2015,2,1,1942
